Close,Net Chg,Open,High,Low,Tick Count,Volume
80.27,4.42,75.85,80.9,74.58,916276,310479341
84,3.73,81.92,84.66,81.17,710973,245056520
84.86,0.86,83.99,86.985,83.25,572067,214553381
85.2,0.34,87.3,87.51,84.08,717611,240944857
86.06,0.86,85.2,86.86,83.82,485943,159684343
87.38,1.32,84.3,87.76,84.24,524737,175041139
89.06,1.68,87.38,89.15,86.7,434638,139804793
89.88,0.82,88.63,90.13,88.48,279737,98924959
90.09,0.21,90.13,90.13,90.09,2,658910
84.81,-5.28,87.51,87.55,84.39,516096,168095526
82.13,-2.68,84.8,85.43,81.97,466267,155611987
84.77,2.64,83.47,85.24,82.23,629626,200432782
85.27,0.5,84.77,85.49,82.29,587013,215900427
85.04,-0.23,83.4,86.95,83.14,640103,225011038
87.41,2.37,85.03,87.83,83.9,653081,229030329
86.08,-1.33,86.06,88.05,85.93,561633,190568487
84.99,-1.09,86.08,87.52,83.74,534989,192441792
83.95,-1.04,83.65,84.66,82.24,555684,186096753
88.02,4.07,83.94,88.42,83.91,648954,226789881
90.44,2.42,90.34,91.64,90.02,598954,194635122
91.15,0.71,90.44,92.38,89.81,518756,174456395
90.3,-0.85,90.37,92.13,89.89,502599,162535521
89.55,-0.75,90.29,90.68,88.98,490463,166960009
90.45,0.9,90.32,91.36,89.75,484166,159537129
90.25,-0.2,90.46,90.7,89,423048,166474804
90.16,-0.09,89.54,91,89.04,428739,153451748
88.03,-2.13,90.141,90.35,87.37,405858,170587025
87.75,-0.28,85.55,88.59,85.2,607134,206557922
88.5,0.75,87.75,88.9,86.67,417837,144736697
87.27,-1.23,89.02,89.15,86.71,371683,121370997
87.49,0.22,87.26,88,86.29,291295,109328106
88.959,1.469,88.3,89.15,88.18,305075,105654285
91.92,2.961,88.96,92.02,88.73,581204,213809227
91.67,-0.25,90.84,91.99,90.06,407613,135304130
90.98,-0.69,91.67,92.43,90.83,275915,97236692
90.92,-0.06,91.4,91.67,90.5,370668,133918079
89.19,-1.73,90.92,91.2,88.21,404651,160301951
89.22,0.03,89.1,90.62,88.39,399805,145448679
88.28,-0.94,89.21,89.49,88.09,291510,103527147
87.4,-0.88,88.58,88.67,86.91,274143,88007132
86.82,-0.58,87.4,87.41,85.49,305819,125275205
86.52,-0.3,87.52,87.93,86.17,336690,117195063
86.14,-0.38,86.51,86.998,85.8,217396,74272986
86.66,0.52,86.45,86.87,86,158586,53578284
86.65,-0.01,87.24,87.3,86.5,100468,34277254
87.1,0.45,86.66,87.28,86.63,90292,37229226
85.63,-1.47,87.24,87.33,85.6,180214,60029884
87,1.37,85.622,87,85.61,148273,50715245
88.02,1.02,87.51,88.48,87.09,263456,88914813
88.91,0.89,88.02,89.05,87.32,158177,59158947
89.77,0.86,89.08,90.19,88.87,221748,79814942
90.24,0.47,89.77,90.97,89.745,242970,85429040
92.34,2.1,90.44,92.38,89.85,322148,107279099
92.99,0.65,92.34,93.44,92.14,244726,95262613
93.07,0.08,92.63,93.35,91.89,349565,109987574
92.82,-0.25,93.07,93.66,92.09,280681,95776981
93.13,0.31,93.64,94.45,92.68,474625,150947426
93.48,0.35,93.13,94.21,92.711,380056,127377738
91.6,-1.88,92,92.26,91.25,385915,125999670
90.62,-0.98,91.59,91.75,90.2,278610,113333423
89.83,-0.79,90.16,90.8,89.67,376979,128412468
91.042,1.212,89.83,91.09,89.75,265572,103320977
89.45,-1.592,91.16,91.32,89.03,465737,173599164
89.09,-0.36,89.45,90.997,88.81,288066,111583008
87.57,-1.52,88.84,88.91,87.35,319967,108869831
86.95,-0.62,87.57,88.55,86.41,289963,141552836
86.86,-0.09,86.73,87.88,86.51,498480,164743108
87.06,0.2,86.85,87.48,86.2,403582,156225568
84.12,-2.94,85.54,85.75,83.16,568630,203281484
84.34,0.22,84.12,85.04,83.71,434439,160357986
82.57,-1.77,84.12,84.31,81.72,565243,212123261
84.44,1.87,82.57,85.25,82.5,608194,249220410
83.79,-0.65,85.86,85.96,83.05,585850,199525403
84.99,1.2,83.785,85.51,83.7,424806,165511105
82.64,-2.35,84.23,84.46,82.11,561528,188843067
80.54,-2.1,82.64,85.059,80.05,420352,167594072
81.28,0.74,81.94,82.46,80.47,529275,184347817
84.05,2.77,81.28,84.24,81.22,374381,142577757
82.02,-2.03,82.42,82.97,81.17,601179,195838621
82.84,0.82,82.01,84.04,81.78,513867,187117837
83.1,0.26,80.9,83.49,80.57,619129,215872092
83.13,0.03,83.12,83.99,82.5,386924,135028922
84.37,1.24,83.59,85.36,83.43,471867,162888838
